SEX,ECONOMY_,LEISURE,HEALTH,GOMIN,CYBER,PIHAEJA,GAHAEJA,BOHOJA,PUNISH_P,PUNISH_T,BULLYING,final_class
0,2,2,3,1,1,1,1,4,1,1,1,0
0,3,2,3,1,1,1.1,1,3,1,1.5,1,1
0,2,2,3,1,1,1,1,4,1,1,1,0
0,2,5,3,1,1,1.1,1.3,4,1,1,1,1
0,2,3,4,1,1,1.2,1,4,1,1,1,0
0,1,4,3,1,1,1.3,1,1.5,3,1,1,0
0,2,2,4,1,1,1.1,1.1,4,1,1,1,1
0,1,3,1,1,1,1,1,3.5,1,1,1,0
0,3,2,3,0,1.4,2,1.8,2.75,3,3,1.429,1
0,2,3,4,1,1,1.5,1,3,1,1.5,1,0
0,2,2,3,1,1,1.5,1,3,3,1,1,0
0,1,5,3,1,1,1.2,1,2.5,5,1,1.571,0
0,1,1,2,1,1,1.2,1,3,1,1,1,0
0,1,2,2,1,1,1.1,1,3,1,1,1,0
0,1,0,3,1,1,1.3,1.1,3.25,1,1,1,0
0,2,3,4,1,1,1,1,4,1,1,1,0
0,2,3,3,1,1,2.4,1.8,3,1,1,1,0
0,2,2,3,1,1,1,1,3.25,1.5,1,1,0
0,2,4,3,1,1,1.1,1,4,1,1,1,0
0,2,5,2,1,1,1.6,1,3.25,2,2,1,0
0,3,1,3,1,1,1.1,1,4,2.5,1,1,1
0,3,1,3,1,1,1.8,1.2,3.75,1,1,1,0
0,3,1,2,1,1,1.3,1,4,1.5,1,1.429,0
0,3,1,3,1,1,1.1,1,2.5,2.5,1.5,1,0
0,1,1,3,1,1,1.3,1.1,4,1.5,1,1,1
0,1,2,3,0,1.2,2.1,1.5,3,3.5,1.5,1,0
0,2,2,3,1,1.2,1.2,1,4,1,1.5,1,1
0,3,0,4,1,1,1,1,4,1,1,1,1
0,3,1,2,1,1.2,1.1,1,3.25,1,1,1,0
0,3,0,3,1,1,1.3,1,3,1.5,1,1,0
0,2,0,3,1,1,1.1,1,3,1,1,1,0
0,3,1,4,1,1,1,1,3.5,1,1,1,0
0,3,1,3,1,1,1.2,1,4,1,1,1,0
0,2,0,3,1,1,1.2,1.1,3,3,1,1,0
0,3,2,4,1,1,1.2,1,4,1,1,1,1
0,1,1,2,1,1.2,1.3,1,3,2,1,1,0
0,2,1,3,1,1,1,1,3.5,1,1,1,0
0,2,3,2,1,1,1.6,1,3.25,1.5,1,1,1
0,2,0,4,1,1.4,1.7,1.2,3,3,1.5,1,0
0,2,1,3,1,1.4,1.4,1.4,3.75,1,1,1,1
0,1,1,3,1,2,2.4,1.3,2.75,3,1.5,1.429,1
0,2,0,3,1,1.4,1.2,1,4,1,1,1,1
0,3,5,3,1,1.4,1.3,1,3.5,1,1,1,1
0,2,1,3,1,1,1.1,1,4,1,2,1,1
0,2,2,3,1,1,1.4,1.4,3.25,1,2,1,1
0,3,1,2,1,1.2,1.4,1,3.5,1.5,2,1,0
0,3,5,3,1,1,1.7,1,2.5,2.5,1,1,0
0,3,2,3,1,1,1.2,1,4,1,1,1,1
0,3,2,4,1,1,1,1,4,1,1,1,0
0,3,2,3,1,1,1.2,1,3,1,1,1,1
0,2,0,3,1,1.2,1.8,1,4,1.5,1,1,0
0,3,2,4,1,1,1.4,1,3,1,1,1,1
1,3,2,3,NA,1,1,1,3.25,1.5,1,1,1
1,1,1,3,1,1,1,1,4,1,1,1,1
1,3,1,4,0,1,1,1,3.25,1,1,1,0
1,2,1,3,1,1.6,1.4,1.3,3,1,1,1,0
1,3,2,4,1,1,1,1,4,1,1,1,1
1,3,1,3,1,1,1,1,3.75,1,1.5,1,1
1,3,2,3,1,1,1,1.2,2.75,3,1,1,0
1,3,3,3,1,1,1,1,4,1,1,1,0
1,3,1,4,1,1,2.2,2.4,3,1,1,1,0
1,1,2,2,1,1.4,1.2,1,2.5,2,1,1,0
1,2,2,3,1,1,1,1,3.25,1,2,1,0
1,2,5,3,1,1,1.3,1.1,4,1,1,1,1
1,2,1,4,1,1,1,1,4,1,1,1,1
1,2,0,3,1,1,1.1,1,4,1,1.5,1,1
1,3,5,3,1,1,1.3,1.1,4,1,1,1,1
1,2,1,4,1,1,1,1,3.5,1,1,1,1
1,3,1,3,1,1,1,1.1,3,1,1,1,1
1,3,3,3,1,1,1.1,1,3,1,2,1,0
0,3,1,3,0,1,1.1,1.1,3,2.5,1,1,0
0,1,1,3,1,1,1.1,1,3.5,3,1,1.429,0
0,2,2,3,1,1,1.1,1,3.5,2,1,1,1
0,3,4,2,1,1.2,1,1,4,1,1,1,0
0,2,0,3,1,1,1.1,1,4,1.5,1,1,0
0,1,1,3,1,1.2,1.4,1.3,4,1,1,1,0
0,3,4,4,1,1,1,1,3.75,1,1,1,0
0,2,1,3,1,2,2,1,2.75,2,1.5,1,0
0,3,2,3,1,1,1,1,3.75,1.5,1,1,0
0,3,3,3,1,1,1.5,1,2.75,1,1,1,0
0,2,2,3,1,1,1.4,1.2,3,1,1,1,0
0,1,4,2,1,1,1.3,1.4,3.25,1,1,1,0
0,1,4,2,1,1.2,1.9,1.2,3,4.5,2.5,2.143,0
0,2,4,3,1,1,1,1,3,1.5,1,1,0
1,3,5,4,1,1,1.5,1.9,3.5,1,1,1,1
1,2,5,2,1,1.2,1,1,4,1.5,1.5,1,1
1,2,4,2,1,1,1.3,1,4,1,1,1,0
1,2,2,2,1,1,1.3,1,3,1,1,1,1
1,2,4,3,1,1.2,1,1,3,1,1,1,0
1,1,5,2,1,1.4,1,1,3.75,3,1,1,0
1,2,3,2,1,1,1.2,1,3,1,1,1,0
1,1,3,3,1,1,1,1,2.75,1,1,1,0
1,3,0,4,1,1.2,1.4,1.4,3.5,1.5,1.5,1.143,1
1,1,1,3,1,1,1.2,1,4,1,2,1,0
1,2,5,3,0,1,1,1,4,1,1,1,1
1,2,0,3,1,1,1,1,4,1,1,1,0
1,1,5,4,1,3.4,1,1,3.25,2,1,1,0
1,2,3,3,1,2.2,1,1,3.5,2,1,1,0
1,3,3,4,1,1,1.1,1,4,1,1,1,0
1,3,4,4,1,1,1.2,1,3.25,1.5,1.5,1,1
1,2,5,4,1,1,1.1,1.2,4,1,1,1,1
0,3,1,3,1,1,1.2,1,4,1,1,1,1
0,3,2,3,1,1,1.2,1,4,1,1,1,0
0,3,0,3,1,1,1,1,3,1,1,1,1
0,3,1,3,1,1,1.5,1,4,1,1,1,0
0,2,0,3,1,1,1.5,1.4,4,1,1,1,0
0,3,1,3,1,1,1.2,1,4,1,1,1,0
0,1,2,2,1,1,1.4,1.2,2,2,1,1,0
0,3,0,2,1,1,2.1,1,4,1,1,1,0
0,3,3,4,1,1,1,1,3.75,1.5,1,1,1
0,2,0,3,0,1,1,1,3,5,1,1,0
0,2,1,2,1,1,1,1,4,1,1,1,1
0,3,1,3,1,1,1,1,4,1,1,1,1
0,2,2,3,1,1.2,1.8,1.5,4,1,1,1,0
0,2,0,3,1,1,1,1,4,1,1,1,1
0,3,1,3,1,1,1,1,3,1,1,1,0
0,3,0,3,1,1,1,1.1,3.25,1,1,1,0
0,2,2,3,0,1,1.4,1,4,1.5,1.5,1,0
0,2,1,3,1,2,1,1,4,1,1,1,0
0,2,5,4,1,1,1.3,1.1,4,2,1,1,1
0,3,2,3,1,1,1,1,3,1,1,1,0
0,3,3,3,1,1.4,1.1,1,4,2.5,1,1,0
0,3,0,3,1,1,1,1,3.75,1,1,1,1
0,3,1,3,1,1,1,1,4,1,1,1,1
0,3,2,3,1,1.8,1.4,1.1,3.5,2,1,1,1
0,2,2,3,1,1,2,1.6,1.25,4,2.5,1.286,0
0,2,0,3,1,1,1,1,3,1,1,1,1
0,3,1,4,1,1,1,1,4,1,1,1,1
0,3,2,3,1,1,1,1,2.75,1,1,1,0
0,2,2,3,1,1,1.2,1.3,4,1,1,1,1
0,2,1,2,1,1,1.2,1.1,3.25,1.5,1,1,0
0,3,2,4,1,1,1.4,1,3,1,1,1,0
1,1,1,3,0,1.2,1.8,1.1,3.5,2.5,1,1,0
1,2,2,3,1,1,1,1,3.75,2.5,1,1,0
1,3,0,4,1,1,1,1,4,1,1,1.571,0
0,3,3,3,1,1,1,1,4,1.5,1,1,1
0,2,1,3,1,1.4,1.5,1.2,4,2,1,1.429,0
0,1,2,4,1,1,1.1,1,2,5,1,1,0
0,1,5,3,1,1,1,1,4,1,1,1,0
0,3,4,3,1,1,1,1,3.5,1,1,1,1
0,2,4,3,1,1,1,1,3.75,1,1,1,1
0,2,5,3,1,1,1,1,3,1,1,1,0
0,3,3,2,1,1,1.2,1,3.25,1,1.5,1,0
0,3,2,3,1,1.2,1.5,1.1,4,2,1,1,0
0,2,3,3,1,1,1.2,1.2,3,1,1,1,1
0,2,1,3,1,1,1.5,1,2.75,1.5,1,1,0
0,2,2,3,1,1,1.1,1,3.25,2,1,1,0
0,1,5,3,1,1,1,1,4,1,1,1,1
0,2,1,3,1,1,1,1,3.75,1,1,1,1
0,1,4,2,1,1,1.1,1,4,1,1,1,0
0,2,4,3,1,1,1.4,1,3,1,1,1,0
0,3,2,3,1,1,1.4,1.1,3,4,1,1,0
0,1,1,3,1,1.2,2.3,1.4,3.25,1,2.5,1.714,0
0,2,1,3,1,1,1.1,1,4,1,1,1,0
0,2,1,3,1,1,1,1,3,1,1.5,1,0
0,3,3,4,1,1,1,1,4,1,1,1,1
0,2,4,3,1,1,1.3,1,3.25,1,1,1,0
0,1,5,3,1,1,1.2,1,3.25,1,1,1,0
0,3,4,3,1,1,1.5,1.2,3.25,1,1,1,1
0,1,1,2,1,1,2.3,2.3,3,4.5,1,1,0
0,1,1,3,1,1,2.2,1.3,3.25,3,1,1,0
0,1,1,2,0,1.2,1.7,1,3.5,3,1,1,0
0,2,2,2,1,1,1,1,3,1,1,1,0
0,3,5,3,1,1,1,1,3.75,1,1,1,1
0,3,2,3,0,1.2,1.6,1.2,3,2.5,1.5,1.143,0
0,1,3,2,1,3.4,1.7,1.1,2.5,2,1,1.286,0
0,1,1,2,1,1,1.1,1,4,1,1,1,0
0,1,0,3,1,1.8,2.4,1.1,3.75,2,2,1,0
0,1,0,4,0,1,1.9,2.5,3,1,1,1,0
0,2,3,4,1,1,1.2,1,3.75,1,3.5,1,0
0,2,2,3,1,1,1.4,1.6,3.75,1,1,1,0
0,2,0,3,1,1.2,1.9,1.1,3,2.5,1.5,1,0
0,2,1,2,0,1.4,1.4,2,4,1,1.5,1,0
0,1,1,2,1,1,1.7,1,3,1,1.5,1,0
0,1,3,4,1,1,1.3,1,4,1,1,1,1
0,1,0,3,1,1,2.1,1,3,4,2,1,0
0,3,2,4,1,1,1.2,1,4,1,1,1,1
0,3,0,2,1,1.2,1.3,1.4,4,2.5,2,1,1
0,2,2,3,1,1.2,3,1,3,1,1,1.286,0
0,2,1,3,1,1,1.5,1.2,3,1,1,1,1
0,3,5,4,1,1,1,1,3,1,1,1,1
0,1,2,4,1,1,1.1,1.5,3.25,1,1,1,1
0,1,2,3,1,1,1,1,3,1,1,1,0
0,1,1,2,1,1,3.2,1.3,3,3.5,1.5,1,0
0,3,2,3,1,1,1,1,3,1,1,1,0
0,1,2,2,0,1,2.2,1,2.5,2,1,1,0
0,1,3,2,0,1,1.4,2.1,3.5,2,1,1,0
1,1,3,2,1,1,1.8,1,2.25,2,1,1,0
1,3,1,4,1,1,1,1,4,1,1,1,1
1,1,5,3,NA,1,1,1,4,1,1,1,1
1,1,0,4,1,1,1,1,4,1,1,1,0
1,2,1,3,1,1,1,1,3.25,1,1,1,0
1,3,2,4,0,1.2,1.1,1.1,2.75,2.5,1,1,0
0,1,5,1,1,1,1,1,4,1,1,1,0
0,1,2,3,1,1.4,1.6,1.1,3.5,1.5,1,1,0
0,2,5,4,1,1,1.3,1,3.25,2.5,1,1,0
1,3,5,2,1,1,1,1,3.5,1,1,1,1
0,1,1,3,1,1,1.2,1.2,2.75,2,1,1,0
0,2,2,2,1,1.2,1.1,1,4,1,1.5,1,0
0,3,2,3,1,1,1,1,3.75,1,1,1,1
0,3,1,2,1,1,1.1,1,3,1,1,1,0
0,2,4,2,1,1.2,1.2,1.2,4,2,1.5,1,1
0,3,0,2,1,1,1.9,1,2.5,1.5,1,1,0
0,3,2,3,1,1,1,1,4,1,1,1,1
0,3,2,3,1,1,1.3,1.2,4,1.5,1,1,0
0,2,2,4,1,1,1.3,1,3.75,1,1,1,1
0,3,0,2,1,1,1.9,1.1,3,2,2.5,1,1
0,2,5,3,1,1,1,1,4,1,1,1,1
0,3,0,3,1,1,2.3,1,2.75,4,3,3,0
0,2,1,4,1,1,1,1,4,1,1,1,1
0,2,4,3,1,1,1,1,4,1,1,1.143,0
0,2,1,4,1,1,1,1,4,1,1,1,1
0,2,4,3,1,1,1.2,1,3.75,1,1,1,1
0,1,5,4,1,1,1.4,1,2,2.5,1,1,0
0,3,0,4,1,1,1,1.5,2.5,1,1,1.571,0
0,2,2,3,1,2.4,2.5,1.1,1.5,4.5,2.5,1.714,0
0,2,1,3,1,2,2.5,1,3.75,1,1,1.286,0
0,2,2,2,1,1.6,2.2,1,2.5,4,2,1,0
0,3,1,3,1,1,1.7,1.2,3.5,1,2.5,1,0
0,2,2,3,NA,1.8,1.4,1.4,3,5,5,1,0
0,1,2,2,0,1,2.3,1,3.75,3,2.5,1,0
0,3,2,4,1,1,1,1,4,2,1,1,1
0,2,1,3,1,1.6,1.8,1.2,3.25,1,2,2,0
1,2,2,3,0,1,1,1,3.75,1,1,1,0
1,2,3,4,1,1,1.2,1,4,1,2,1,1
1,2,2,3,1,1.4,1.1,1,3.5,3,1,1,1
1,2,1,4,1,1,1,1,3.5,1,1,1,1
1,2,1,3,1,1,1.7,1.8,2.5,1.5,2.5,1,0
1,2,2,3,0,1,1.4,1.1,3,2,1.5,1,1
1,2,1,2,1,1,1,1,3.75,1,1,1,1
1,2,1,4,1,1,1.3,1,3.75,1.5,3,1,1
1,3,5,3,1,1,1.1,1,3,2.5,2,1,0
1,3,5,4,1,1,1,1,1,1,1,1,1
1,2,2,3,1,1,1.9,1.2,3,1,3,1,0
1,3,5,3,1,1,1,1,3.25,1,1,1,1
1,1,2,3,0,1,1,1,4,1,1,1,0
1,3,2,3,1,1,1.3,1,3,1,1,1,0
1,3,4,3,1,1,1,1,3.75,1,1,1,1
1,3,2,2,1,1,1,1,1.667,4,1.5,1,0
1,2,2,3,1,1,1,1,3,1,1,1,1
1,3,0,3,0,1,1,1,3,3,1,1,0
1,3,2,4,1,1,1.1,1,3,1,1,1,1
1,2,2,3,1,1,1,1,3.75,1,1,1,0
1,1,1,3,1,1,1.5,1.4,3,1,3,1,0
1,1,1,2,1,1,1,1,3,1,1,1,0
1,2,1,3,1,1,1,1,3.75,1,1,1,0
1,3,3,2,1,1,1,1,2.75,1,1,1,0
1,3,1,4,1,1,1,1,2.75,1,1,1,1
1,3,1,2,1,1,1.6,1,3,1,1,1,0
1,2,3,4,1,1.2,1.4,1.1,3.5,1,1,1,0
0,1,5,2,0,1.4,1.4,1.1,3.25,1,1.5,1.143,0
0,3,0,3,1,2,2.3,1.3,4,1,1,2,1
0,2,1,2,1,1,1.9,1,3,1,1.5,1.143,0
0,3,2,4,1,1,1.5,1,3.5,1,1,1,1
0,2,2,3,1,1,1.3,1.4,3.75,1.5,1,1.143,0
0,3,0,3,1,1,1.6,1.4,3.75,1,1,1.143,0
0,3,0,2,1,1.2,2.6,1.3,3.25,2.5,1,1.286,0
0,2,1,3,0,1,1,1,3.75,1.5,1,1,0
0,3,2,3,1,2,2,1.1,3.25,1.5,2,2.286,0
0,2,0,4,1,1.2,1.3,1,3,1.5,1.5,1.429,0
0,3,2,3,0,1,1.2,1,4,1,1.5,1,0
0,2,1,1,0,1,1.4,1.6,2.25,4,1,1.714,0
0,2,3,3,1,1,1,1,3,1,1,1,0
0,3,4,3,1,1,1.1,1,4,1,1,1,1
0,2,1,3,1,1.4,1,1,2.5,2.5,1,1.143,0
0,2,2,3,1,1,1,1,3.75,1,1,1,1
0,2,5,2,1,1,1.3,1,3.5,1,1,1.286,0
0,3,1,3,1,1.6,1.5,1.2,3,2,1.5,1.571,0
0,1,3,3,1,1,1.2,1,3,1,2.5,1,0
1,3,1,2,1,2.2,1,1,2.75,3.5,4.5,1.714,0
1,3,1,4,1,1,1,1,4,1,1,1,1
1,2,2,2,1,1.2,1.3,1,3,1,1,1,0
1,3,1,3,0,1,1,1,4,1,1,1,1
1,2,4,1,1,1.4,1.5,1.4,3,1.5,1,1.286,0
1,3,0,3,1,1.8,1,1,4,1.5,1,1.429,1
1,1,4,2,1,1,1,1,3.5,1,1,1,0
1,2,2,4,1,1.2,1.556,1.1,3,3,1,1,1
1,2,5,2,0,1,1,1,3,1,1,1,1
0,3,2,4,1,1,1.3,1,3.5,2,2,1.286,1
0,2,2,3,1,1,1,1,3.25,1,1,1,0
0,3,3,2,1,1.8,1.4,1,3,2,1.5,1.571,0
0,3,3,3,1,1,1.1,1,3.5,2,1.5,2,0
0,1,3,3,1,1,1.1,1,3.25,2,1,1,0
0,2,1,3,1,1,1.2,1,3.25,3,1,1,0
0,2,0,2,1,1,1.2,1.1,3,1.5,1,1,0
0,1,0,3,1,1,1.4,1,2.25,1,1,1,0
0,2,3,3,1,1.2,1,1.1,2.25,3,2,1.286,0
0,3,2,3,1,1,2,1,3.5,1,1,1,0
0,1,0,3,1,1,1,1,3,1,1,1,1
0,1,5,2,1,2,1.3,1,4,1,2,2,1
0,2,1,3,1,1.2,1.2,1,3,1,2,1.143,0
0,3,2,4,1,1,1.5,1,3,1,1,1,0
0,2,1,4,1,3.8,1.2,1.2,2,3,3,2.857,0
0,3,5,3,1,1,1,1,3,1,1,1,1
0,2,2,4,0,1,1,1,2.75,1,1,1,0
0,3,1,3,1,1,1,1,3,1.5,1,1,0
0,2,3,3,1,1,1,1,3.5,1.5,1,1,0
0,2,2,3,1,1,1.3,1,3,1,2,1,0
0,1,1,3,1,1,1.8,1,3,1,2,1,0
0,3,4,4,1,1,1,1,3.75,1,1.5,1,1
0,2,1,1,1,1,1,1,3.75,1,1,1,0
0,3,1,3,1,1,1,1,3,1,2,1,0
0,3,1,3,1,1,1.3,1,2.25,1,2,1,0
0,2,0,3,1,1,1.4,1,4,1,1,1,1
0,2,0,4,1,1,1,1,3,2.5,1,1,0
0,2,1,4,1,1,1.7,1.1,2.75,1,2,1,1
0,3,0,2,1,1,1.2,1,3,1,1,1,0
0,1,4,4,1,1,1,1,3,1,1,1,1
0,2,2,3,1,1,1,1,2.5,1,1,1,0
0,2,1,3,1,1,1,1,3,1,1,1,0
0,2,3,3,1,1,1.3,1.2,3,1,1,1,0
0,1,3,3,1,1,1.4,1,2.75,1,1,1,0
0,2,0,2,1,2.2,2.1,2.8,3,1,1,1,0
0,3,5,4,1,1,1,1,4,1,1.5,1,1
0,3,2,2,1,1,1.4,1.2,3.5,1,2,1,0
0,2,1,3,1,1,1,1,3.25,1,1,1,0
0,2,1,4,0,1,1,1,4,1,1,1,1
0,3,4,4,1,1,1,1,4,1,2,1,1
0,2,4,2,1,1.2,1.6,1,3.75,2,1.5,1.143,1
0,2,5,3,1,1,1.3,1,3,2,2,1,0
0,2,5,3,1,1.4,1.2,1,2,2.5,1.5,1.286,0
0,3,1,3,1,1,1.2,1,3.75,1,1,1,0
0,2,1,2,1,2,2.7,1.1,3,3,1,1,0
1,2,0,4,1,5,5,5,4,5,5,5,1
1,2,1,3,1,3,2.1,3,3,4,4,2,0
1,2,1,1,1,2.6,3,2.9,3.75,2.5,2.5,2.714,0
1,3,2,2,1,3,2,3,4,3,3,3,1
1,2,0,3,1,1,1,1,3,3,3,1.857,0
1,3,2,2,1,1,1.2,1,4,1,1,1.286,0
1,2,3,3,1,1,1,1,3,1,1,1,1
1,3,5,3,1,1,1,1,3.5,2,2,1.286,0
1,3,2,2,1,1,1,1,3,1,5,1,0
1,2,2,2,1,1,1,1,4,1,1,1,0
1,3,5,2,1,1,1,1,3,1,1,1,1
1,3,3,3,1,1,1,1,3.75,1,1,1,1
1,1,2,3,1,1.2,1.1,1,2.75,1,1,1,0
1,3,2,1,1,1,1,1,4,1,1,1,1
0,1,4,4,1,1,1.3,1,4,1,1,1,0
0,3,1,3,1,1,1.1,1,3.5,1,1,1,0
0,2,4,3,1,1,1.4,1.1,4,1,1,1.143,1
0,1,2,3,1,1,1.3,1,3,1,1,1,0
0,1,3,2,1,1,1.8,1.3,2.25,3.5,1.5,1.143,0
0,2,0,2,1,1.2,1.7,1,2,1,1,1,0
0,3,1,3,1,1,1.2,1,4,1,1,1,1
0,3,4,3,1,1,1,1,4,1,1,1,1
0,1,1,2,0,1,1,1,3,1,1,1,0
0,1,4,3,1,1,1.5,1.1,3,1.5,5,1.143,0
0,1,2,4,1,1,1.5,1.5,4,1,1.5,1,0
1,1,1,2,1,1,1.1,1,3.5,1,1,1,1
1,2,2,2,1,1,1,1,3,1,1,1,0
1,3,3,4,1,1,1.1,1,3.75,1,1,1,1
1,2,5,3,1,1,1,1,4,1,1,1,1
1,2,1,4,1,1,1.2,1,3.5,1,1,1,1
1,3,1,3,1,1,1,1.2,4,1,1,1,1
1,2,2,3,1,1.2,1.4,1.5,3,1,2,1,0
1,2,4,4,1,1,1.9,1,4,1,5,1,1
1,1,5,3,NA,1,1.3,1.3,3,2.5,1.5,1,0
1,1,3,2,1,1,1,1,3.5,1,1,1,1
1,3,1,4,1,1,1,1,3,1,1,1,1
1,2,5,4,1,1,1,1,3,1,1,1,0
1,1,4,2,1,1,2.6,2.5,3,1,1,1,0
1,2,5,3,NA,1,1.1,1,4,1,1,1,1
1,2,2,3,1,1,1,1,3,1,1,1,0
1,2,5,3,1,1,1,1,3,1.5,1,1,0
1,1,2,3,1,1,1,1,3.25,1,1,1,1
1,3,0,3,1,1,1,1,2.5,3.5,3.5,1,0
1,2,5,3,1,1,1,1,3.25,1.5,1,1.286,0
1,1,1,3,1,1,3.222,2,3,1,5,1,0
1,3,1,3,1,1,1,1,3,1,1,1,0
1,3,4,3,1,1,1,1,4,1,1,1,1
1,1,5,2,1,1,1.2,1,3.5,1.5,1.5,1,1
1,3,5,3,1,1,1,1,2.5,1,1,1,0
1,1,3,3,0,1,1,1,3,1,1,1,0
1,3,1,3,1,1,1,1,3,1,1,1,1
1,3,2,3,1,1,1,1,3.25,1,1,1,1
0,2,3,3,1,1.2,1.7,1,3.25,1,1,1.714,1
0,1,1,3,1,1.2,3.1,1.2,4,1,2.5,1.143,1
0,2,5,4,1,1,1,1,3.75,1,1,1,1
0,2,3,4,1,1,1,1,3,1,1,1,0
0,2,3,2,1,1,1.4,1.1,2.75,2,1,1,0
0,3,1,2,1,1,1.2,1,2.5,1,1,1,0
0,2,2,3,1,1.4,1.9,1,2.75,2,1,1.429,0
1,3,3,3,1,1,1.3,1,2.5,1,1.5,1.286,0
1,3,5,4,1,1,1,1,3,1,1,1,1
1,3,3,3,1,1,1,1,4,1,1,1,0
1,2,3,4,NA,2,2.7,2.4,2.25,1,1,2.143,1
1,2,3,3,1,1,1.3,1,3.75,1,1.5,1,1
1,2,2,3,0,3,3,2.7,4,3,3,3,0
1,2,5,3,1,1,1,1,3.5,1,1,1,1
1,2,1,3,1,1,2.4,1.7,3,1,2,1,0
1,2,2,3,1,1,1,1,3,1,1,1,1
1,2,2,2,1,1,1,1,3.5,1,1,1,1
1,2,5,3,1,1,1,1,3.5,1,1,1,0
1,1,1,3,1,1,1.1,1,3,1,1,1,1
1,1,3,3,1,1.6,1.2,1,3,1,1.5,2.143,0
0,3,1,3,1,1,1.1,1,4,1,1,1,0
0,3,3,3,1,1,1,1,4,1,1,1,1
0,2,2,3,1,1,1,1,4,1,1,1,1
0,3,2,3,1,1,1,1,2.25,1,1,1,0
0,2,4,3,1,1,1.5,1,2.75,1,2,1,0
0,3,2,3,1,1,1.3,1,3.75,1,1,1,1
0,3,2,3,1,1,1.2,1,3.5,2,1.5,1,0
0,1,4,3,1,1,1.7,1.4,3.25,2,1,1,0
0,3,5,3,1,1.2,1,1,3.25,1,1,1,1
0,2,1,3,1,1,1,1,3,1,1,1,0
1,2,3,3,NA,1,1,1,3,1,1,1,0
1,1,5,2,0,1,1,1,2.5,1,1,1,0
1,2,2,3,0,1,1,1,1.75,1.5,1.5,1.143,0
1,2,0,4,1,1,1,1,3,1,1,1,0
1,2,0,3,1,1,1,1,3,1,1,1,1
1,3,1,4,1,1,1,1,3.25,1,1,1,1
1,3,3,4,1,1,1.2,1,4,1,1,1,1
1,2,1,4,1,1,1.7,1,2.75,2,1,1,0
1,1,3,2,1,1,1.5,1,3,1,1,1,0
1,1,4,3,1,1.8,1.2,1.1,2.75,2,2.5,1,0
1,1,4,2,1,1.6,1.3,1,3,2,2,1.143,0
1,1,5,3,1,1,1.1,1,2.75,2.5,1,1.286,1
1,3,4,4,1,1,1,1,3.25,1,1,1,1
1,2,3,3,1,1,1,1,4,1,1,1,0
1,2,5,4,0,1,1.1,1,3.5,1,1,1,0
1,2,2,3,1,1,1.1,1,3.75,1,1,1,0
1,2,2,4,1,1,1,1,4,1,1,1,1
1,2,5,2,1,1,1,1,3,1,1,1,0
1,2,2,3,1,1,1,1,3,2.5,1,1,0
1,2,2,4,1,1,1,1,4,1,1,1,1
1,2,4,3,1,1,1,1,3,1,1,1,0
0,1,3,3,1,1,1.2,1,3,1,1.5,1,0
1,3,3,4,1,1,1,1,3,2,2,2,0
1,2,1,4,1,1,1,1,3.75,1,4,1,1
1,2,1,3,1,1,1,1,4,1,1,1,1
1,3,1,4,1,1,1.4,1,3,1,1,1,1
1,2,2,4,1,1,1,1,3,1,1,1,0
1,2,0,2,1,1,1,1,3,1,1,1,0
1,2,1,3,1,1,1,1,4,1,1,1,1
1,2,1,4,1,1,1.2,1,4,1,2,1,0
1,2,2,3,1,1,1.2,1.2,3.75,1,2.5,1,0
1,3,0,3,0,1,1.3,1.1,3,1,1,1,0
1,3,1,3,1,3.4,1,1,3,3,3,3.286,0
1,2,0,1,1,2,2,3.8,3,2,2,2,0
1,2,3,2,1,3,3.1,2.8,3,3,2,3.143,0
1,2,3,3,1,3.2,3.111,3.5,3,3,3,3,0
1,3,0,4,1,3,1,1,4,3,3,3,1
0,3,2,4,1,1,1,1,4,1,1.5,1,0
0,1,2,2,1,2.2,1.8,1.2,3.5,3,2,2.143,0
0,2,0,3,1,1,1,1,4,1,1,1,0
0,1,1,2,1,1,1.5,1,4,2.5,1,1,0
0,1,0,3,1,1,1.4,1,4,1,1,1,0
0,2,5,3,1,1,1,1,3.75,2.5,1,1,1
0,3,0,3,1,1,1.4,1.4,4,1,2.5,1,0
0,2,1,3,1,1,1,1,3.75,1,1,1,0
0,1,3,3,1,1,1.9,1.3,4,1,1,1,0
0,2,0,2,1,2.2,2.1,1.1,3.75,1,1.5,1.143,0
0,3,1,3,1,1,1,1,4,1,1,1,0
0,3,1,4,1,1,1,1.3,3,1.5,1,1,1
0,2,0,3,1,1,1,1,4,1,1,1,0
0,2,1,3,1,1,1,1,3.75,1,1,1,1
0,3,2,3,1,1,1.2,1,3.75,1,1,1,1
0,2,0,4,1,1,1.4,1,4,1.5,1,1,0
0,3,0,4,1,1,1.5,1.222,3.75,1,1,1.143,1
0,3,0,3,1,1,1,1,3.75,1,1,1,1
0,3,2,3,1,1,1,1,3.75,1,1,1,1
0,3,1,3,0,1,1,1,3.75,1,1,1,0
0,3,1,3,1,1,1,1,3,2,1,1.429,0
0,2,0,3,1,1,1.6,1.1,3.25,1,1,1,0
0,3,1,3,1,1.2,2.2,2.1,3.25,2.5,2.5,1,1
1,2,1,3,1,1,1,1,3,1,1,1,0
1,1,1,4,1,1,1.2,1.1,3.25,1,1,1,0
1,3,1,3,1,1,1,1,3,1,1,1,0
1,3,3,3,1,1.2,1,1,4,1.5,1,1,1
